Date,Open,High,Low,Close,Volume
2023-01-03,175.81,177.86,174.70,177.25,63452300
2023-01-04,177.69,179.06,176.25,177.45,67305400
2023-01-05,177.82,178.52,174.56,175.26,72042800
2023-01-06,176.85,177.53,174.00,176.23,70341200
2023-01-09,177.12,177.79,174.45,174.98,66789300
2023-01-10,175.21,176.32,174.20,176.00,63012900
2023-01-11,176.89,177.23,175.08,176.21,67901500
2023-01-12,176.54,178.38,175.77,177.87,73456800
2023-01-13,177.45,178.09,176.64,177.05,68532100
2023-01-16,176.88,178.00,176.00,177.24,57894000
